Accession.no.;tbHomologue;geneName;X;dragsetCall;IreneCall;geckoCall;bagelCall;griffinCall;sassettiCall;deJesusCall;bestGuideRatio;bestGuide;gbAnnotation;X.1;X.2;X.3;Position;X.5;Name;Function;Product;TU (Nanopore RNA-Seq);Position
MSMEG_0001;Rv0002;dnaN;03 D4;ES;ES;ES;ES;ES;NA;ES;-5.405633102;MSMEG_0001_2;DNA polymerase III subunit beta; Validated; Region: PRK07761;;First Gene;;dnaN;DNA polymerase III is a complex, multichain enzyme responsible for most of the replicative synthesis in bacteria. This DNA polymerase also exhibits 3' to 5' exonuclease activity. The beta chain is required for initiation of replication once it is clamped onto DNA, it slides freely (bidirectional and ATP-independent) along duplex DNA [catalytic activity: N deoxynucleoside triphosphate = N diphosphate + {DNA}N].;DNA polymerase III (beta chain) DnaN (DNA nucleotidyltransferase);0001-0002-0003;First Gene
MSMEG_0005;Rv0005;gyrB;03 A5;GD;ES;ES;ES;ES;ES;ES;-5.298129031;MSMEG_0005_5;DNA gyrase subunit B; Validated; Region: gyrB; PRK05644;First Gene;;gyrB;DNA gyrase negatively supercoils closed circular double-stranded DNA in an ATP-dependent manner and also catalyzes the interconversion of other topological isomers of double-stranded DNA rings, including catenanes and knotted rings [catalytic activity: ATP-dependent breakage, passage and rejoining of double-stranded DNA].;DNA gyrase (subunit B) GyrB (DNA topoisomerase (ATP-hydrolysing)) (DNA topoisomerase II) (type II DNA topoisomerase);0005-0006;First Gene
MSMEG_0006;Rv0006;gyrA;01 G9;ES;GD;ES;ES;ES;NA;ES;-8.069676911;MSMEG_0006_5;DNA gyrase subunit A; Validated; Region: PRK05560;;Last Gene;;gyrA;DNA gyrase negatively supercoils closed circular double-stranded DNA in an ATP-dependent manner and also catalyzes the interconversion of other topological isomers of double-stranded DNA rings, including catenanes and knotted rings [catalytic activity: ATP-dependent breakage, passage and rejoining of double-stranded DNA].;DNA gyrase (subunit A) GyrA (DNA topoisomerase (ATP-hydrolysing)) (DNA topoisomerase II) (type II DNA topoisomerase);0005-0006;Last Gene
MSMEG_0028;Rv0014c;-;02 F7;GD;GD;NE;ES;ES;ES;ES;-6.965784285;MSMEG_0028_4;Catalytic domain of bacterial Serine/Threonine kinases, PknB and similar proteins; Region: STKc_PknB_like; cd14014;;Last Gene;;pknB;Involved in signal transduction (via phosphorylation). Thought to regulate cell division/differentiation. Can phosphorylate the peptide substrate myelin basic protein (MBP) [catalytic activity: ATP + a protein = ADP + a phosphoprotein].;Transmembrane serine/threonine-protein kinase B PknB (protein kinase B) (STPK B);0030-0028;Last Gene
MSMEG_0030;Rv0015c;pknA;03 H9;ES;ES;ES;ES;ES;ES;ES;-3.942647199;MSMEG_0030_5;Catalytic domain of bacterial Serine/Threonine kinases, PknB and similar proteins; Region: STKc_PknB_like; cd14014;;First Gene;;pknA;Involved in signal transduction (via phosphorylation). Thought to regulate morphological changes associated with cell division/differentiation process. Phosphorylates at serine and threonine residues [catalytic activity: ATP + a protein = ADP + a phosphoprotein].;Transmembrane serine/threonine-protein kinase A PknA (protein kinase A) (STPK A);0030-0028;First Gene
MSMEG_0250;Rv0206c;MmpL3;02 H5;ES;ES;ES;ES;ES;NE;ESD;-7.20322609;MSMEG_0250_3;Uncharacterized membrane protein YdfJ, MMPL/SSD domain [Function unknown]; Region: YdfJ; COG2409;;Last Gene;;mmpL3;Unknown. Thought to be involved in fatty acid transport.;Possible conserved transmembrane transport protein MmpL3;0252-0251-0250;Last Gene
MSMEG_0317;Rv0227c;-;01 H11;ES;GD;ES;ES;ES;ES;ES;-7.743420717;MSMEG_0317_1;Protein of unknown function (DUF3068); Region: DUF3068; pfam11271;;First Gene;;Rv0227c;Unknown;Probable conserved membrane protein;0317-0315;First Gene
MSMEG_0384;Rv0334;rfbA;03 E6;ES;ES;ES;ES;ES;ES;ES;-4.906411032;MSMEG_0384_2;glucose-1-phosphate thymidylyltransferase, short form; Region: rmlA; TIGR01207;;Only Gene;;rmlA;dTDP-L-rhamnose biosynthesis within the O antigen biosynthesis pathway of lipopolysaccharide biosynthesis [catalytic activity: dTTP + alpha-D-glucose 1-phosphate = diphosphate + dTDP-glucose].;Alpha-D-glucose-1-phosphate thymidylyltransferase RmlA (dTDP-glucose synthase) (dTDP-glucose pyrophosphorylase);0384-;Only Gene
MSMEG_0690;Rv0338c;-;03 A12;GD;GD;ES;ES;ES;ES;ES;-3.020713916;MSMEG_0690_1;Fe-S oxidoreductase [Energy production and conversion]; Region: GlpC; COG0247;;Only Gene;;Rv0338c;"Function unknown; probably involved in cellular metabolism.";Probable iron-sulfur-binding reductase;0690-;Only Gene
MSMEG_0759;Rv0357c;purA;02 H11;ES;ES;ES;ES;ES;ES;ES;-6.390228426;MSMEG_0759_2;adenylosuccinate synthetase; Provisional; Region: PRK01117;;First Gene;;purA;Involved in AMP biosynthesis (first committed step). Plays an important role in the de novo pathway of purine nucleotide biosynthesis [catalytic activity: GTP + imp + L-aspartate = GDP + phosphate + adenylosuccinate].;Probable adenylosuccinate synthetase PurA (imp--aspartate ligase) (ADSS) (ampsase);0759-0760;First Gene
